ADM3_PCODE;JUNTA_SEXO;Sufragantes;Votos_válidos;Nulos;Blancos;Nulos_pct;Blancos_pct;"DANIEL NOBOA AZIN
(Derecha liberal 
moderada)";"LUISA GONZALEZ
(Izquierda autoritaria)"
EC030252;FEMENINO;434,0;402,0;32,0;0,0;0,07373271889400922;0,0;0,7211981566820277;0,20506912442396313
EC030253;FEMENINO;223,0;202,0;21,0;0,0;0,09417040358744394;0,0;0,6547085201793722;0,25112107623318386
EC030254;FEMENINO;279,0;254,0;16,0;9,0;0,05734767025089606;0,03225806451612903;0,5448028673835126;0,3655913978494624
EC030350;FEMENINO;8309,0;7591,0;669,0;50,0;0,08051510410398363;0,006017571308220003;0,6124684077506318;0,3011192682633289
EC030351;FEMENINO;1105,0;985,0;87,0;33,0;0,07873303167420814;0,02986425339366516;0,6280542986425339;0,26334841628959277
EC030352;FEMENINO;888,0;807,0;70,0;11,0;0,07882882882882883;0,012387387387387387;0,5337837837837838;0,375
EC030353;FEMENINO;724,0;556,0;153,0;15,0;0,21132596685082872;0,020718232044198894;0,4599447513812155;0,3080110497237569
EC030354;FEMENINO;972,0;858,0;100,0;13,0;0,102880658436214;0,013374485596707819;0,5113168724279835;0,3713991769547325
EC030355;FEMENINO;1756,0;1580,0;156,0;20,0;0,0888382687927107;0,011389521640091117;0,5244874715261959;0,37528473804100226
EC030356;FEMENINO;2677,0;2272,0;370,0;36,0;0,1382144191258872;0,013447889428464699;0,45461337317893163;0,3940978707508405
EC030357;FEMENINO;531,0;464,0;61,0;6,0;0,11487758945386065;0,011299435028248588;0,4915254237288136;0,3822975517890772
EC030358;FEMENINO;604,0;565,0;34,0;5,0;0,056291390728476824;0,008278145695364239;0,5380794701986755;0,3973509933774834
EC030361;FEMENINO;613,0;519,0;86,0;8,0;0,1402936378466558;0,013050570962479609;0,4698205546492659;0,3768352365415987
EC030362;FEMENINO;356,0;324,0;25,0;7,0;0,0702247191011236;0,019662921348314606;0,5449438202247191;0,3651685393258427
EC030363;FEMENINO;1097,0;978,0;103,0;16,0;0,09389243391066546;0,014585232452142206;0,5177757520510483;0,37374658158614404
EC030450;FEMENINO;15029,0;13819,0;1114,0;96,0;0,07412336150109788;0,006387650542284916;0,47973917093619;0,43974981702042715
EC030451;FEMENINO;1486,0;1377,0;100,0;9,0;0,06729475100942127;0,006056527590847914;0,3822341857335128;0,544414535666218
EC030452;FEMENINO;1985,0;1850,0;109,0;26,0;0,05491183879093199;0,01309823677581864;0,29924433249370275;0,6327455919395466
EC030550;FEMENINO;3464,0;3091,0;341,0;31,0;0,09844110854503464;0,00894919168591224;0,4523672055427252;0,4399538106235566
EC030650;FEMENINO;1394,0;1289,0;89,0;16,0;0,06384505021520803;0,011477761836441894;0,5308464849354376;0,3938307030129125
